id,parentId,name,birth,death,note
1,,Cụ tổ 2,1950,,
45658,1,Nguyễn Văn B (Con trưởng),1905,1975,
36892,45658,Nguyễn Văn E,1930,2005,
1.1.1.1,36892,Nguyễn Văn J,1955,,
1.1.1.1.1,1.1.1.1,Nguyễn Văn Q,1980,,
1.1.1.1.1.1,1.1.1.1.1,Nguyễn Bảo An,2005,,
1.1.1.1.1.1.1,1.1.1.1.1.1,Con của An 1,2030,,
1.1.1.1.1.1.2,1.1.1.1.1.1,Con của An 2,2032,,
1.1.1.1.1.2,1.1.1.1.1,Nguyễn Bảo Bình,2007,,
1.1.1.1.1.2.1,1.1.1.1.1.2,Con của Bình,2035,,
1.1.1.1.2,1.1.1.1,Nguyễn Thị R,1982,,
1.1.1.2,36892,Nguyễn Thị K,1958,,
1.1.1.2.1,1.1.1.2,Lê Văn S (chồng cô K),1980,,
1.1.1.2.2,1.1.1.2,Con gái thứ 2 cô K,1985,,
1.1.1.2.3,1.1.1.2,Con trai út cô K,1990,,
37257,45658,Nguyễn Văn F,1933,2010,
1.1.2.1,37257,Nguyễn Văn L,1960,,
1.1.2.1.1,1.1.2.1,Nguyễn Văn T,1985,,
1.1.2.1.1.1,1.1.2.1.1,Nguyễn Minh Châu,2010,,
1.1.2.1.1.2,1.1.2.1.1,Con thứ 2 của T,2014,,
1.1.2.1.2,1.1.2.1,Con gái ông L,1988,,
1.1.2.2,37257,Nguyễn Văn M,1962,,
1.1.2.2.1,1.1.2.2,Nguyễn Thị U,1988,,
1.1.2.2.1.1,1.1.2.2.1,Hoàng Minh Đức (chồng cô U),2012,,
45689,1,Nguyễn Thị C,1908,1980,
36923,45689,Trần Thị G (con gái bà C),1935,2015,
1.2.1.1,36923,Trần Văn N,1961,,
1.2.1.1.1,1.2.1.1,Trần Thị V,1986,,
1.2.1.1.1.1,1.2.1.1.1,Vũ Minh Anh,2011,,
1.2.1.1.2,1.2.1.1,Con trai ông N,1989,,
45717,1,Nguyễn Văn D (Con út),1912,1990,
36951,45717,Nguyễn Văn H,1940,2018,
1.3.1.1,36951,Nguyễn Thị O,1965,,
1.3.1.1.1,1.3.1.1,Phạm Văn X (chồng cô O),1984,,
1.3.1.1.2,1.3.1.1,Con gái cô O,1989,,
1.3.1.2,36951,Nguyễn Văn P,1968,,
1.3.1.2.1,1.3.1.2,Nguyễn Văn Y,1990,,
1.3.1.2.1.1,1.3.1.2.1,Nguyễn Gia Hân,2015,,
1.3.1.2.1.2,1.3.1.2.1,Nguyễn Gia Khiêm,2018,,
1.3.1.2.2,1.3.1.2,Nguyễn Văn Z,1992,,
1.3.1.2.2.1,1.3.1.2.2,Nguyễn Quang Minh,2020,,
1.3.1.2.3,1.3.1.2,Con út ông P,1995,,
37316,45717,Nguyễn Thị I,1942,,
1.3.2.1,37316,Con trai cô I,1970,,
1.3.2.1.1,1.3.2.1,Cháu trai cô I,1995,,
1.3.2.1.1.1,1.3.2.1.1,Chắt trai cô I,2022,,
1.3.2.1.2,1.3.2.1,Cháu gái cô I,1998,,
1.3.2.2,37316,Con gái cô I,1972,,
